time;Pfv;tff
1;0.00;0.39
2;0.00;0.39
3;0.00;0.39
4;0.00;0.39
5;0.00;0.39
6;0.00;0.39
7;0.00;0.39
8;0.00;0.39
9;0.00;0.39
10;0.00;0.39
11;0.00;0.39
12;0.00;0.39
13;0.00;0.39
14;0.00;0.39
15;0.00;0.39
16;0.00;0.39
17;0.00;0.39
18;0.00;0.39
19;0.00;0.39
20;0.00;0.39
21;0.00;0.39
22;0.00;0.39
23;0.00;0.39
24;0.00;0.39
25;0.00;0.39
26;0.00;0.39
27;0.00;0.39
28;0.00;0.39
29;0.00;0.39
30;0.00;0.39
31;0.00;0.39
32;0.00;0.39
33;0.00;0.39
34;0.00;0.39
35;0.00;0.39
36;0.00;0.39
37;0.00;0.39
38;0.00;0.39
39;0.00;0.39
40;0.00;0.39
41;0.00;0.39
42;0.00;0.39
43;0.00;0.39
44;0.00;0.39
45;0.00;0.39
46;0.00;0.39
47;0.00;0.39
48;0.00;0.39
49;0.00;0.39
50;0.00;0.39
51;0.00;0.39
52;0.00;0.39
53;0.00;0.39
54;0.00;0.39
55;0.00;0.39
56;0.00;0.39
57;0.00;0.39
58;0.00;0.39
59;0.00;0.39
60;0.00;0.39
61;0.00;0.39
62;0.00;0.39
63;0.07;0.39
64;0.26;0.39
65;0.56;0.39
66;0.95;0.39
67;1.46;0.39
68;2.10;0.39
69;2.62;0.39
70;3.42;0.39
71;4.00;0.39
72;4.46;0.39
73;6.12;0.39
74;7.53;0.39
75;9.45;0.39
76;12.74;0.39
77;15.93;0.39
78;20.91;0.39
79;24.71;0.39
80;28.18;0.39
81;32.47;0.39
82;38.23;0.39
83;43.45;0.39
84;49.39;0.39
85;57.05;0.39
86;64.08;0.39
87;69.37;0.39
88;78.34;0.39
89;85.91;0.39
90;99.92;0.39
91;107.71;0.39
92;119.06;0.39
93;131.15;0.39
94;143.64;0.39
95;159.32;0.39
96;174.32;0.39
97;185.82;0.39
98;198.44;0.39
99;214.53;0.39
100;230.85;0.39
101;245.73;0.39
102;265.99;0.39
103;285.58;0.39
104;295.67;0.39
105;315.02;0.39
106;333.69;0.39
107;350.99;0.39
108;372.60;0.39
109;385.22;0.39
110;402.45;0.39
111;421.70;0.39
112;433.36;0.39
113;454.19;0.39
114;481.49;0.39
115;503.87;0.39
116;528.47;0.39
117;549.52;0.39
118;585.68;0.39
119;600.66;0.39
120;610.44;0.39
121;633.71;0.39
122;653.86;0.39
123;671.50;0.39
124;687.89;0.39
125;700.27;0.39
126;720.78;0.39
127;736.24;0.39
128;747.72;0.39
129;757.36;0.39
130;768.00;0.39
131;769.46;0.39
132;764.09;0.39
133;782.04;0.39
134;792.81;0.39
135;787.30;0.39
136;797.55;0.39
137;806.60;0.39
138;809.35;0.39
139;823.85;0.39
140;834.78;0.39
141;828.73;0.39
142;854.59;0.39
143;850.16;0.39
144;864.48;0.39
145;871.58;0.39
146;873.43;0.39
147;867.53;0.39
148;858.41;0.39
149;860.71;0.39
150;898.19;0.39
151;887.42;0.39
152;883.50;0.39
153;875.76;0.39
154;859.79;0.39
155;856.91;0.39
156;855.91;0.39
157;856.21;0.39
158;867.28;0.39
159;875.30;0.39
160;869.41;0.39
161;863.45;0.39
162;853.78;0.39
163;844.47;0.39
164;860.69;0.39
165;854.11;0.39
166;842.56;0.39
167;832.10;0.39
168;813.06;0.39
169;802.76;0.39
170;788.91;0.39
171;801.45;0.39
172;799.65;0.39
173;782.24;0.39
174;765.11;0.39
175;760.46;0.39
176;751.52;0.39
177;735.76;0.39
178;717.60;0.39
179;710.16;0.39
180;695.85;0.39
181;692.00;0.39
182;677.97;0.39
183;677.23;0.39
184;658.07;0.39
185;633.33;0.39
186;605.99;0.39
187;588.19;0.39
188;581.07;0.39
189;565.27;0.39
190;556.49;0.39
191;532.97;0.39
192;511.38;0.39
193;501.10;0.66
194;486.74;0.66
195;474.94;0.66
196;465.43;0.66
197;460.17;0.66
198;432.41;0.66
199;408.35;0.66
200;401.85;0.66
201;380.84;0.66
202;368.81;0.66
203;346.46;0.66
204;330.34;0.66
205;308.08;1.06
206;279.27;1.06
207;265.68;1.06
208;249.78;1.06
209;230.75;1.06
210;211.77;1.06
211;203.95;1.06
212;195.57;1.06
213;175.97;1.06
214;166.28;1.06
215;156.67;1.06
216;146.29;1.06
217;133.38;1.06
218;121.13;1.06
219;115.40;1.06
220;106.89;1.06
221;96.08;1.06
222;83.07;1.06
223;68.75;1.06
224;57.90;1.06
225;50.66;1.06
226;43.83;1.06
227;38.03;1.06
228;30.98;1.06
229;24.35;1.06
230;20.76;1.06
231;18.46;1.06
232;16.25;1.06
233;14.58;1.06
234;12.88;1.06
235;11.32;1.06
236;10.04;1.06
237;8.76;1.06
238;6.95;1.06
239;5.32;1.06
240;4.17;1.06
241;3.10;0.66
242;2.16;0.66
243;1.33;0.66
244;0.57;0.66
245;0.17;0.66
246;0.08;0.66
247;0.03;0.66
248;0.00;0.66
249;0.00;0.66
250;0.00;0.66
251;0.00;0.66
252;0.00;0.66
253;0.00;0.66
254;0.00;0.39
255;0.00;0.39
256;0.00;0.39
257;0.00;0.39
258;0.00;0.39
259;0.00;0.39
260;0.00;0.39
261;0.00;0.39
262;0.00;0.39
263;0.00;0.39
264;0.00;0.39
265;0.00;0.39
266;0.00;0.39
267;0.00;0.39
268;0.00;0.39
269;0.00;0.39
270;0.00;0.39
271;0.00;0.39
272;0.00;0.39
273;0.00;0.39
274;0.00;0.39
275;0.00;0.39
276;0.00;0.39
277;0.00;0.39
278;0.00;0.39
279;0.00;0.39
280;0.00;0.39
281;0.00;0.39
282;0.00;0.39
283;0.00;0.39
284;0.00;0.39
285;0.00;0.39
286;0.00;0.39
287;0.00;0.39
288;0.00;0.39
